 	82
SOLDIER	5
STRIKE	5
SWC	5
TANK	5
UNEXPLODED~ORDNANCE	5
WIRE	5
ADDITIONAL	4
ASADABAD	4
ATTACKED	4
BACK	4
BATTERY	4
BCP	4
BLUE	4
BUNKERS	4
BURIED	4
CELL	4
CHINESE	4
DAMAGED	4
DESTROY	4
DETAINS	4
FEB	4
GERONIMO	4
ILLUMINATION~MORTAR	4
KALAY	4
KANDAHAR	4
KILLED	4
LATER	4
LAUNCHER	4
LOCATED	4
MISSION	4
NEAR	4
ORDNANCE	4
PHONE	4
POMZ	4
POSSIBLE	4
PRESENCE	4
RADIO	4
RPG	4
SHARONA	4
SIGNIFICANT~ACTIVITY	4
SOLDIERS	4
TAKEN	4
TRACER	4
TRUCK	4
TYPE	4
UNIDENTIFIED	4
WARRIOR	4
WHEELS~UP	4
WIRES	4
WITHIN	4
ZORMAT	4
AA	3
AMBUSH	3
AMERICANS	3
AMF	3
AMMUNITION	3
APPROVAL	3
ARRIVED	3
ASSAULT~RIFLE	3
AWAY	3
AZIMUTH	3
BAGRAM~AIR~FIELD	3
CLEARED	3
COALITION	3
COMBINED~JOINT~SPECIAL~OPERATIONS~TASK~FORCE	3
COMPANY	3
COMPOUNDS	3
CONDUCT	3
CONSISTING	3
CRATER	3
CTF	3
CUT	3
DEH	3
DEMOLITION	3
DETONATED	3
DETONATOR	3
DEVICE	3
DRW	3
DSHK	3
EIGHT	3
ENGINEER	3
EXPLODED	3
EXPLOSIVE	3
FIELD	3
FIRST	3
FLIGHT	3
FORMATION	3
GHECKO	3
GRANTS	3
GUARDS	3
HILLSIDE	3
IMPACT	3
INDIVIDUAL	3
INFORMATION	3
IVO	3
KILLED~IN~ACTION	3
LARGE	3
LEADER	3
LIKELY	3
LINKED	3
MACHINE	3
MARINE	3
METER	3
METERS	3
MIXED	3
MODEL	3
NANGALAM	3
NATIONALS	3
NURI	3
OCCURRED	3
ORDINANCE	3
ORIGIN	3
PAIR	3
PASSED	3
PASSENGERS	3
PATIENTS	3
PEOPLE	3
PERSONNEL	3
PISTOL	3
POINT	3
POINT~OF~IMPACT	3
PROPAGANDA	3
RACK	3
RCIED	3
RETURNING	3
RUNNING	3
SEVERAL	3
SHIPPING	3
SHORABAK	3
SOUTHEAST	3
SOUTHWEST	3
SPECIAL	3
SQS	3
SUA	3
SUB	3
SURVEILLANCE	3
SVB	3
SVC	3
TROOPS	3
UNSPECIFIED	3
USED	3
VILLAGERS	3
WALI	3
WALNUT	3
ABANDONED	2
ACTIVITY	2
AFGHAN~NATIONAL~ARMY	2
AFGHANISTAN	2
AL~QAIDA	2
AMBUSHED	2
AMMO	2
ANALYSIS	2
ANOTHER	2
APACHE	2
APPEARED	2
APPROX	2
APPROXIMATE	2
AQ	2
ARRIVING	2
ASSESSED	2
ATTACHED	2
ATTACKS	2
AUTHORITY	2
BAG	2
BEGAN	2
BEHIND	2
BLACK	2
BLEW	2
BLOW	2
BLOWN	2
BOOSTERS	2
BORDER	2
BOX	2
BOXES	2
BOY	2
BROUGHT	2
BUILDING	2
BULDAK	2
BUS	2
CALIBER	2
CANS	2
CAPS	2
CAUSED	2
CHANGE	2
CHEST	2
CITY	2
CIVILIANS	2
CJTF	2
CLASH	2
CLASSIFICATION	2
COMMAND	2
COMMANDERS	2
CONTENTS	2
COURAGE	2
COVERED	2
DETERMINED	2
DIRT	2
DISPATCHED	2
DISPOSE	2
DISTRICT	2
DITCH	2
DOC	2
EMPTY	2
ENGAGED	2
ENTRANCE	2
ENTRY	2
EOD	2
ESCORT	2
ESCORTED	2
EXPLOSIVES	2
EYE	2
FALCON	2
FDO	2
FEET	2
FIRING	2
FIVE	2
FLASHES	2
FLED	2
FOLLOWING	2
FORCE	2
FORWARD	2
FRAGMENTATION	2
FRAGMENTS	2
FRONT	2
GAH	2
GERESK	2
GRID	2
GROUND	2
HEAVY	2
HELMAND	2
HIGH	2
HILL	2
HOME	2
HOST	2
HOUSE	2
IMMEDIATELY	2
INJURED	2
INVESTIGATE	2
INVESTIGATED	2
IRF	2
KABUL	2
KAF	2
KAREZ	2
KHAKREZ	2
LANDED	2
LASHKAR	2
LAST	2
LAUNCHED	2
LEFT	2
LETTER	2
LIGHT~MACHINE~GUN	2
LOOSE	2
MADE~MACHINE	2
MAKE	2
MAN	2
MARKED	2
MEDCAP	2
MEN	2
MID	2
MILITARY~POLICE	2
MILS	2
MINESTRIKE	2
MIX	2
MONEY	2
MORNING	2
MORTARS	2
MOTUNI	2
MOUNTED	2
MOVE	2
MOVING	2
MTF	2
MUZZLE	2
NATION	2
NATIONAL	2
NEARBY	2
NGO	2
NNW	2
NOSE	2
NOTE	2
NUMBER	2
NUMEROUS	2
OBSERVATION	2
OLD	2
OPENED	2
ORIENTED	2
OUTSIDE	2
PAKISTAN	2
PAKISTANI	2
PATROLS	2
PAVEMENT	2
PERSONEL	2
PIGEONS	2
PLATE	2
PLATOON	2
POLICE	2
POM	2
POSSIBLY	2
POST	2
PREPARING	2
PRIOR	2
PROVIDED	2
PROVINCIAL~RECONSTRUCTION~TEAM	2
QUANITY	2
QUESTIONING	2
QUOT	2
RANGE	2
RAWOD	2
REACTION	2
RECIEVED	2
RECOILESS	2
RECOVERING	2
RED	2
RELEASED	2
REMOVE	2
REPORTS	2
REQUEST	2
REQUIRED	2
RESPONDED	2
RETURN	2
RIDGELINE	2
RIFLES	2
RIGHT	2
RNDS	2
RQR	2
SALT	2
SCENE	2
SECURE	2
SHAH	2
SIGN	2
SIGNALING	2
SIX	2
SOVIET	2
SPECIAL~OPS~FORCE	2
SPIDER	2
SPOTTED	2
SSW	2
STICK	2
STILL	2
STRETCHER~USED~BY~MEDICS	2
STRUCK	2
SUPPORT	2
TACTICAL~GROUP~ARES	2
TARGET	2
THEREFORE	2
TIMING	2
TIRE	2
TNT	2
TOOK	2
TRACKS	2
TRANSPORTED	2
TRUCKS	2
UAE	2
UNSPECIFED	2
UPON	2
USING	2
WELL	2
WHEELS~DOWN	2
WHITE	2
WOODEN	2
WORK	2
WOUNDED~IN~ACTION	2
XAK	2
